Department,Role,Prompt,PromptText
Public Relations ,PR Specialist,ğŸ† Create An Awards Submission Form,
Public Relations ,PR Specialist,ğŸ“„ Create A PR Strategy Document,
Public Relations ,PR Specialist,ğŸ“„ Create A PR Strategy Document 3,
Public Relations ,PR Specialist,ğŸ“‡ Create A Media List,
Public Relations ,PR Specialist,ğŸ“Š Create A Media Monitoring Report,
Public Relations ,PR Specialist,ğŸ“Š Create A Public Relations Report,
Public Relations ,PR Specialist,ğŸ“š Create A Media Training Materials Document,
Public Relations ,PR Specialist,ğŸ“ Create A Communication Plan,
Public Relations ,PR Specialist,ğŸ“ Create A Key Messages Document,
Public Relations ,PR Specialist,ğŸ“ Create A Media Pitch Document,
Public Relations ,PR Specialist,ğŸ“ Create A Q&amp;A Document,
Public Relations ,PR Specialist,ğŸ“ Create A Testimonial Collection Document,
Public Relations ,PR Specialist,ğŸ“¢ Create A Media Advisory,
Public Relations ,PR Specialist,ğŸ“£ Consult an Expert: PR Specialist,
Public Relations ,PR Specialist,ğŸ“° Create A Press Kit,
Public Relations ,PR Specialist,ğŸ—“ï¸ Create An Editorial Calendar,
Public Relations ,PR Specialist,ğŸ“„ Create A Spokesperson Guidelines Document,
Public Relations ,PR Specialist,ğŸ“ˆ Create A Reputation Management Plan,
Public Relations ,PR Specialist,ğŸ“Š Create A Crisis Monitoring And Reporting System,
Public Relations ,PR Specialist,ğŸ“Š Create A Post-Crisis Evaluation Report,
Public Relations ,PR Specialist,ğŸ“‹ Create A Crisis Log Template,
Public Relations ,PR Specialist,ğŸ“š Create A Crisis Training Materials Document,
Public Relations ,PR Specialist,ğŸ“š Create A Legal And Regulatory Compliance Guidelines Document,
Public Relations ,PR Specialist,ğŸ“ Create A Crisis Messaging Templates Document,
Public Relations ,PR Specialist,ğŸ“ Create A Crisis Response Guidelines Document,
Public Relations ,PR Specialist,ğŸ“ Create A Media Relations Strategy Document,
Public Relations ,PR Specialist,ğŸ“ Create An Internal Communication Guidelines Document,
Public Relations ,PR Specialist,ğŸ“¢ Create A Stakeholder Communication Plan,
Public Relations ,PR Specialist,ğŸ“± Create A Social Media Response Plan,
Public Relations ,PR Specialist,ğŸš¨ Create A Crisis Communication Policy,
Public Relations ,PR Specialist,ğŸš¨ Create A Crisis Escalation Procedures Document,
Public Relations ,PR Specialist,ğŸš¨ Create A Crisis Management Team Roles And Responsibilities Document,
Public Relations ,PR Specialist,ğŸš¨ Create A Crisis Scenario Simulations Document,
Public Relations ,PR Specialist,ğŸ›¡ï¸ Consult an Expert: Crisis Communications Manager,
Public Relations ,PR Specialist,ğŸ“ˆ Consult an Expert: Social Media Strategist,
Public Relations ,PR Specialist,ğŸ“ˆ Create A Social Media Channel Optimization Plan,
Public Relations ,PR Specialist,ğŸ“Š Create A Monthly Social Media Report,
Public Relations ,PR Specialist,ğŸ“Š Create A Social Media Campaign Analysis Document,
Public Relations ,PR Specialist,ğŸ“Š Create A Social Media Channel Audit Document,
Public Relations ,PR Specialist,ğŸ“Š Create A Social Media Kpis And Metrics Document,
Public Relations ,PR Specialist,ğŸ“Š Create A Social Media Listening Report,
Public Relations ,PR Specialist,ğŸ“Š Create A Social Media Platform Comparison Document,
Public Relations ,PR Specialist,ğŸ“ Create A Social Media Best Practices Document,
Public Relations ,PR Specialist,ğŸ” Create A Social Media Competitor Analysis,
Public Relations ,PR Specialist,ğŸ”¥ Create A Social Media Crisis Management Plan,
Public Relations ,PR Specialist,ğŸ“… Create An Event Plan,
Public Relations ,PR Specialist,ğŸ“£ Consult an Expert: PR Manager,
